,Stock,Market cap (*000)
0,CENTEL,50287.5
1,ERW,14319.73
2,SHR,11859.01
3,DUSIT,7777.5
4,SHANG,6532.5
5,OHTL,5012.47
6,LRH,4667.12
7,BEYOND,3755.29
8,ROH,2948.2
9,GRAND,1995.8
10,VRANDA,1934.07
11,ASIA,1744.0
12,CSR,1240.25
13,MANRIN,516.59
