,Stock,Market cap (*000)
0,SCC,452400.0
1,TOA,56304.75
2,SCCC,46339.0
3,TPIPL,31749.99
4,TASCO,26989.98
5,DCC,26464.27
6,EPG,26180.0
7,VNG,12927.52
8,COTTO,12879.26
9,DRT,6840.26
10,SKN,6240.0
11,DCON,2747.03
12,Q-CON,2420.0
13,GEL,1889.26
14,SCP,1770.0
15,WIIK,1742.38
16,CCP,1467.06
17,UMI,1271.49
18,PPP,552.0
19,STECH,3.0
