,Stock,Market cap (*000)
0,TR,10029.6
1,SUC,9975.0
2,ICC,8646.35
3,SABINA,7367.0
4,WACOAL,4200.0
5,TNL,2028.0
6,PDJ,1757.23
7,UT,1676.25
8,TTI,1387.5
9,PAF,1166.4
10,CPL,844.5
11,PG,734.4
12,UPF,521.25
13,AFC,451.19
14,SAWANG,229.2
15,CPH,156.8
16,NC,136.05
17,BTNC,114.0
18,TTT,5.0
19,WFX,2.0
