,Stock,Market cap (*000)
0,KYE,7326.0
1,MODERN,2880.0
2,AJA,2706.56
3,TSR,1483.41
4,TCMC,1099.01
5,SIAM,1043.9
6,FANCY,627.3
7,OGC,554.6
8,DTCI,280.0
9,ROCK,182.0
10,L&E,1.0
