,Stock,Market cap (*000)
0,GJS,15037.41
1,TSTH,13221.82
2,INOX,12862.92
3,TMT,9926.64
4,MCS,7011.9
5,MILL,5879.76
6,PAP,3273.6
7,2S,3049.99
8,THE,2931.48
9,CEN,2652.71
10,AMC,2640.53
11,SMIT,2607.6
12,TYCN,2172.17
13,SSSC,2009.59
14,PERM,1980.03
15,TGPRO,1793.39
16,NOVA,1682.5
17,BSBM,1558.43
18,LHK,1554.98
19,CSP,1428.97
20,SAM,1254.15
21,TWP,842.4
22,CITY,810.0
23,GSTEEL,3.0
