,Stock,Market cap (*000)
0,SCB,392199.55
1,KBANK,371984.43
2,BAY,255612.72
3,BBL,254830.53
4,KTB,188676.83
5,TTB,126575.97
6,TISCO,78263.11
7,KKP,56097.26
8,TCAP,47830.87
9,LHFG,30292.63
10,CIMBT,29947.15
