,Stock,Market cap (*000)
0,PTL,22140.0
1,ALUCON,8424.0
2,AJ,7744.0
3,SMPC,7122.23
4,BGC,7083.33
5,TPAC,4702.32
6,TMD,4050.0
7,TFI,3701.77
8,SFLEX,3657.2
9,SITHAI,3387.38
10,THIP,3374.99
11,CSC,2548.04
12,TPBI,1784.25
13,SLP,1008.0
14,TOPP,984.0
15,NEP,976.66
16,SPACK,726.0
17,TPP,690.0
18,TCOAT,301.88
19,SCGP,5.0
