,Stock,Market cap (*000)
0,S & J,13159.14
1,DDD,5054.41
2,TOG,4553.45
3,APCO,3030.0
4,TNR,2310.0
5,JCT,1080.0
6,OCC,672.0
7,STGT,3.0
8,NV,2.0
9,KISS,1.0
10,KISS,1.0
