,Stock,Market cap (*000)
0,STARK,53102.57
1,SNC,5976.64
2,CTW,3103.67
3,TPCS,2430.0
4,ASEFA,2398.0
5,FMT,1488.0
6,HTECH,1470.0
7,PK,1218.57
8,KKC,1215.0
9,ALLA,942.0
10,CRANE,932.57
11,CPT,774.0
12,VARO,455.55
13,TCJ,443.5
