,Stock,Market cap (*000)
0,CK,34894.28
1,STEC,20741.45
2,ITD,10665.34
3,STPI,9342.78
4,UNIQ,5837.49
5,SRICHA,4431.27
6,TRC,4122.47
7,PYLON,3554.4
8,BJCHI,3263.37
9,APCS,3168.0
10,SYNTEC,3120.0
11,SEAFCO,3003.21
12,TTCL,2919.84
13,TRITN,2781.89
14,PREB,2639.18
15,SQ,2528.15
16,BKD,2496.81
17,NWR,2223.51
18,TEAMG,2108.0
19,EMC,2024.1
20,CNT,1850.23
21,PLE,1143.93
22,TPOLY,1065.33
23,CIVIL,4.0
24,CIVIL,4.0
25,PAE,1.0
26,PAE,1.0
